ORD;REGION;PROV;COMUNA;UNIDAD_EDUCATIVA;RAMA_EDUCACIONAL;DEP;L_M_N;L_M_PROMEDIO;L_M_MAXIMO;L_M_MINIMO;L_N;L_PROMEDIO;L_MAXIMO;L_MINIMO;M_N;M_PROMEDIO;M_MAXIMO;M_MINIMO;H_CS_N;H_CS_PROMEDIO;H_CS_MAXIMO;H_CS_MINIMO;C_N;C_PROMEDIO;C_MAXIMO;C_MINIMO;NOTAS_N;NOTAS_PROMEDIO;NOTAS_MAXIMO;NOTAS_MINIMO;RANK_N;RANK_PROMEDIO;RANK_MAXIMO;RANK_MINIMO;RBD
1;15;ARICA;ARICA;ESCUELA E-15 RICARDO SILVA ARRIAGADA;HC - NOCTURNO;MUNICIPAL;22;396.14;531.0;258.0;22;414.36;601;257;22;377.91;488;259;15;441.87;591;326;16;381.94;549;235;40;483.25;662;299;40;502.68;769;299;28
2;15;ARICA;ARICA;LICEO JOVINA NARANJO FERNANDEZ A-5;HC - NOCTURNO;MUNICIPAL;20;407.10;555.0;281.5;20;402.10;565;257;20;412.10;545;282;13;392.23;514;237;9;398.78;497;309;26;483.08;735;319;26;507.81;850;319;5
3;15;ARICA;ARICA;COLEGIO ALCAZAR DE ARICA;HC - NOCTURNO;SUBVENC;63;394.87;576.5;269.5;63;385.11;613;220;63;404.63;557;234;54;402.57;591;197;31;424.61;545;261;133;485.03;717;295;133;498.38;813;295;40363
4;15;ARICA;ARICA;COLEGIO LEONARDO DA VINCI;HC - NOCTURNO;SUBVENC;17;396.41;508.5;280.5;17;398.71;514;231;17;394.12;509;282;12;437.83;562;286;10;387.80;462;235;26;546.54;780;376;26;560.5;850;376;12630
5;15;ARICA;ARICA;COLEGIO PADRE LUIS GALLARDO;HC - NOCTURNO;SUBVENC;4;463.13;582.0;352.5;4;477.25;633;352;4;449.00;531;353;2;549.00;607;491;4;399.25;481;328;8;550.63;713;400;8;571.88;780;400;12505
6;15;ARICA;ARICA;COLEGIO SAN JUAN DE LA BLACHERE;HC - NOCTURNO;SUBVENC;2;408.00;459.0;357.0;2;385.00;430;340;2;431.00;488;374;2;415.00;420;410;;;;;3;597.67;741;499;3;649.67;850;499;12539
7;15;ARICA;ARICA;LICEO DE ADULTOS JUNIOR COLLEGE;HC - NOCTURNO;SUBVENC;109;405.68;507.0;228.5;109;409.10;589;226;109;402.26;515;226;84;422.51;562;226;35;368.89;510;230;145;477.71;733;311;145;489.83;818;311;12750
8;1;IQUIQUE;IQUIQUE;LICEO CEIA DE IQUIQUE;HC - NOCTURNO;MUNICIPAL;39;386.31;531.0;245.5;39;399.64;601;237;39;372.97;520;219;34;408.18;607;231;18;403.56;534;219;50;528.00;765;331;50;536.6;810;331;12758
9;1;IQUIQUE;IQUIQUE;ACADEMIA IQUIQUE BULNES;HC - NOCTURNO;SUBVENC;75;426.27;639.0;230.0;75;438.56;661;257;75;413.97;617;203;55;440.44;735;243;42;390.52;553;230;108;464.32;753;254;108;480.77;850;254;12682
10;1;IQUIQUE;IQUIQUE;COLEGIO LATINOAMERICANO LAS PARINAS;HC - NOCTURNO;SUBVENC;4;414.63;476.0;359.5;4;417.50;543;274;4;411.75;515;330;2;444.50;530;359;4;347.75;472;235;19;510.63;747;380;19;599.47;850;380;12741
11;1;IQUIQUE;ALTO HOSPICIO;COLEGIO REINA DEL DESIERTO;HC - NOCTURNO;SUBVENC;9;420.06;537.0;328.0;9;427.89;565;231;9;412.22;536;259;7;397.43;525;243;5;428.40;524;328;18;547.17;705;396;18;595.67;844;396;12588
12;1;IQUIQUE;ALTO HOSPICIO;LICEO ACADEMIA NACIONAL;HC - NOCTURNO;SUBVENC;12;383.08;482.0;303.5;12;397.50;537;274;12;368.67;496;211;10;395.50;525;264;2;421.00;450;392;14;534.86;673;408;14;554.86;748;408;12686
13;1;IQUIQUE;ALTO HOSPICIO;LICEO PABLO NERUDA;HC - NOCTURNO;SUBVENC;3;440.50;477.5;389.5;3;428.00;484;329;3;453.00;471;438;3;425.00;485;326;2;342.00;375;309;16;543.88;820;390;16;594.81;850;390;12719
14;1;TAMARUGAL;POZO ALMONTE;ESCUELA BASICA FUERTE BAQUEDANO;HC - NOCTURNO;MUNICIPAL;5;365.10;438.5;309.5;5;361.40;452;289;5;368.80;425;306;4;340.50;430;226;4;327.75;437;261;26;465.12;658;275;26;477.96;783;275;10905
15;1;TAMARUGAL;POZO ALMONTE;LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ C-12;HC - NOCTURNO;MUNICIPAL;5;463.90;610.5;349.0;5;466.20;661;305;5;461.60;560;393;1;530.00;530;530;4;450.75;563;309;9;580.78;788;335;9;650.33;850;335;191
16;1;TAMARUGAL;PICA;LICEO PADRE ALBERTO HURTADO CRUCHAGA;HC - NOCTURNO;MUNICIPAL;4;392.13;430.5;349.0;4;338.75;477;237;4;445.50;509;374;3;453.00;479;440;1;450.00;450;450;6;536.83;697;434;6;546.5;731;434;12551
17;2;TOCOPILLA;TOCOPILLA;LICEO DOMINGO LATRILLE L.;HC - NOCTURNO;MUNICIPAL;28;363.82;495.5;230.0;28;363.71;582;226;28;363.93;531;226;17;404.88;553;226;14;361.43;450;235;34;497.59;741;289;34;526;850;289;199
18;2;EL LOA;CALAMA;CENTRO EDUCACIONAL INTEGRAL ADULTO;HC - NOCTURNO;MUNICIPAL;113;395.89;631.5;261.5;113;393.02;639;204;113;398.76;624;219;73;380.75;607;214;55;376.71;559;219;148;482.49;784;343;148;492.77;850;343;222
19;2;EL LOA;CALAMA;CENTRO EDUCACIONAL INTEGRAL DE ADULTOS -ANEXO;HC - NOCTURNO;MUNICIPAL;21;454.45;526.0;407.0;21;429.19;537;340;21;479.71;526;425;21;605.62;669;525;;;;;21;386.67;531;267;21;386.95;535;267;10971
20;2;EL LOA;CALAMA;INSTITUTO ANTONIO VARAS;HC - NOCTURNO;PAGADO;70;438.26;617.5;271.5;70;444.47;653;237;70;432.04;582;259;41;466.95;641;286;33;412.27;549;230;76;471.84;757;363;76;501.74;850;363;31346
21;2;ANTOFAGASTA;ANTOFAGASTA;C.E.I.A.  DR. ANTONIO RENDIC IVANOVIC  -B-32;HC - NOCTURNO;MUNICIPAL;82;399.02;554.5;227.0;82;405.94;589;220;82;392.11;536;181;64;413.92;616;237;46;372.72;517;224;90;516.23;804;361;90;529.11;850;361;12870
22;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO LA CONCEPCION;HC - NOCTURNO;MUNICIPAL;34;374.60;469.0;259.5;34;354.47;520;215;34;394.74;488;234;27;379.00;503;231;22;395.95;497;261;48;475.98;608;370;48;494.46;707;370;12972
23;2;ANTOFAGASTA;ANTOFAGASTA;LICEO LA PORTADA A-22 ;HC - NOCTURNO;MUNICIPAL;2;432.00;434.0;430.0;2;398.00;407;389;2;466.00;471;461;;;;;1;450.00;450;450;3;546.67;636;497;3;598;769;503;286
24;2;ANTOFAGASTA;ANTOFAGASTA;ESANE DEL NORTE;HC - NOCTURNO;PAGADO;86;447.01;677.0;254.0;86;462.79;669;226;86;431.22;685;219;53;454.70;717;264;52;440.04;657;230;95;462.39;656;267;95;495.78;842;267;12834
25;2;ANTOFAGASTA;ANTOFAGASTA;INSTITUTO ANTONIO VARAS DE ANTOFAGASTA;HC - NOCTURNO;PAGADO;39;423.85;572.0;262.0;39;445.44;613;242;39;402.26;531;259;26;457.00;710;326;21;413.19;539;230;42;464.38;630;333;42;511.48;850;333;12833
26;2;ANTOFAGASTA;ANTOFAGASTA;SERVICIOS EDUCACION SAN MARTIN DE PORRES S.A.;HC - NOCTURNO;PAGADO;13;371.15;466.0;265.5;13;390.23;496;257;13;352.08;488;226;8;403.13;497;237;11;379.36;504;235;14;438.29;561;335;14;452.64;661;335;31344
27;2;ANTOFAGASTA;TALTAL;LICEO JUAN CORTES-MONROY CORTES;HC - NOCTURNO;MUNICIPAL;4;422.63;525.5;331.5;4;447.00;531;362;4;398.25;520;282;;;;;2;477.00;504;450;4;509.00;584;438;4;513.25;597;438;373
