"REGION","PROV","COMUNA","UNIDAD_EDUCATIVA","RAMA_EDUCACIONAL","DEP","L_M_N","L_M_PROMEDIO","L_M_MAXIMO","L_M_MINIMO","L_N","L_PROMEDIO","L_MAXIMO","L_MINIMO","M_N","M_PROMEDIO","M_MAXIMO","M_MINIMO","H_CS_N","H_CS_PROMEDIO","H_CS_MAXIMO","H_CS_MINIMO","C_N","C_PROMEDIO","C_MAXIMO","C_MINIMO","NOTAS_N","NOTAS_PROMEDIO","NOTAS_MAXIMO","NOTAS_MINIMO","RANK_N","RANK_PROMEDIO","RANK_MAXIMO","RANK_MINIMO","RBD"
15,"ARICA","ARICA","COLEGIO INTEGRADO EDUARDO FREI MONTALVA","HC - DIURNO","MUNICIPAL",39,"432.17","574.0","313.5",39,"421.64",576,274,39,"442.69",594,306,22,"438.18",525,326,26,"431.15",576,309,41,"483.95",684,352,41,"488.85",728,352,8
15,"ARICA","ARICA","ESCUELA REPUBLICA DE FRANCIA","HC - DIURNO","MUNICIPAL",6,"438.08","462.0","383.0",6,"410.00",464,305,6,"466.17",488,438,6,"417.83",457,387,4,"419.25",472,351,10,"552.60",768,385,10,"634",850,385,10
15,"ARICA","ARICA","LICEO ARTISTICO DR. JUAN NOE CREVANI","HC - DIURNO","MUNICIPAL",22,"445.66","714.5","341.0",22,"449.05",716,329,22,"442.27",713,306,20,"458.40",822,264,9,"433.78",737,285,27,"507.30",723,395,27,"518.74",825,395,15
15,"ARICA","ARICA","LICEO JOVINA NARANJO FERNANDEZ A-5","HC - DIURNO","MUNICIPAL",64,"472.82","612.5","246.5",64,"477.80",646,257,64,"467.84",614,219,32,"474.50",674,326,40,"471.75",637,328,68,"506.12",688,367,68,"514.37",751,367,5
15,"ARICA","ARICA","LICEO OCTAVIO PALMA PEREZ A-1","HC - DIURNO","MUNICIPAL",339,"506.58","692.0","309.5",339,"496.14",749,257,339,"517.01",751,282,162,"501.46",780,237,256,"496.32",744,235,345,"631.14",795,336,345,"637.81",830,336,4
15,"ARICA","ARICA","COLEGIO ANDINO","HC - DIURNO","PAGADO",19,"459.92","557.0","351.0",19,"440.05",565,372,19,"479.79",594,330,11,"476.00",565,343,18,"462.78",571,375,19,"523.05",713,397,19,"527.37",742,397,12502
15,"ARICA","ARICA","COLEGIO SAN JORGE","HC - DIURNO","PAGADO",38,"566.93","696.0","390.5",38,"559.05",807,352,38,"574.82",706,374,20,"558.60",726,286,31,"550.32",744,407,38,"636.84",795,379,38,"654.24",850,379,59
15,"ARICA","ARICA","JUNIOR COLLEGE","HC - DIURNO","PAGADO",44,"571.16","751.0","445.0",44,"578.82",786,407,44,"563.50",817,409,20,"577.60",766,440,26,"600.38",850,392,44,"604.55",793,494,44,"610",837,494,69
15,"ARICA","ARICA","ABRAHAM LINCOLN SCHOOL","HC - DIURNO","SUBVENC",20,"541.70","649.5","433.0",20,"519.70",669,381,20,"563.70",644,450,10,"496.40",641,359,18,"531.11",650,328,20,"627.35",789,470,20,"641.95",850,470,67
15,"ARICA","ARICA","COLEGIO ADVENTISTA DE ARICA","HC - DIURNO","SUBVENC",37,"492.34","620.0","355.0",37,"472.62",633,317,37,"512.05",651,393,10,"464.80",603,326,28,"489.86",626,328,37,"576.54",725,435,37,"592.22",788,435,50
15,"ARICA","ARICA","COLEGIO ALEMAN DE ARICA","HC - DIURNO","SUBVENC",40,"496.86","672.0","355.5",40,"496.58",762,352,40,"497.15",706,330,19,"480.32",674,243,27,"501.19",708,375,42,"605.45",799,338,42,"623.95",850,338,60
15,"ARICA","ARICA","COLEGIO ARICA COLLEGE","HC - DIURNO","SUBVENC",31,"522.66","712.0","416.5",31,"518.81",749,289,31,"526.52",675,330,27,"530.33",822,399,20,"534.20",677,422,31,"537.42",702,433,31,"550.58",788,433,12587
15,"ARICA","ARICA","COLEGIO CARDENAL ANTONIO SAMORE","HC - DIURNO","SUBVENC",106,"516.02","739.0","333.0",106,"504.52",725,329,106,"527.52",817,259,52,"503.81",780,343,79,"485.63",737,261,108,"582.91",801,410,108,"607.19",850,410,10915
15,"ARICA","ARICA","COLEGIO CARDENAL RAUL SILVA HENRIQUEZ","HC - DIURNO","SUBVENC",30,"479.97","599.0","377.5",30,"452.20",625,289,30,"507.73",644,330,16,"452.50",565,374,19,"419.47",529,285,36,"584.86",746,455,36,"591.67",774,455,12713
15,"ARICA","ARICA","COLEGIO ITALIANO SANTA ANA","HC - DIURNO","SUBVENC",75,"508.25","625.5","278.0",75,"496.53",669,274,75,"519.96",640,282,36,"493.61",624,326,51,"516.71",633,328,75,"563.17",768,381,75,"577.93",841,381,45
15,"ARICA","ARICA","COLEGIO JUAN PABLO II","HC - DIURNO","SUBVENC",52,"419.91","602.0","313.5",52,"421.08",625,274,52,"418.75",582,259,32,"417.69",545,243,26,"426.15",626,309,57,"513.47",708,391,57,"527.89",797,391,30003
15,"ARICA","ARICA","COLEGIO LEONARDO DA VINCI","HC - DIURNO","SUBVENC",13,"429.31","490.0","334.0",13,"414.85",496,274,13,"443.77",536,306,7,"465.29",545,374,6,"404.50",497,328,14,"554.57",696,433,14,"559.57",717,433,12630
15,"ARICA","ARICA","COLEGIO MIRAMAR","HC - DIURNO","SUBVENC",22,"460.50","551.5","334.0",22,"464.95",565,305,22,"456.05",579,306,12,"444.42",565,307,13,"467.23",529,392,26,"540.77",713,381,26,"551.42",772,381,12716
15,"ARICA","ARICA","COLEGIO SAN MARCOS","HC - DIURNO","SUBVENC",66,"570.08","694.5","241.5",66,"568.52",775,257,66,"571.64",706,226,41,"576.88",780,387,56,"563.13",751,392,66,"599.14",783,435,66,"621.26",850,435,56
15,"ARICA","ARICA","COLEGIO SAUCACHE","HC - DIURNO","SUBVENC",76,"470.96","592.5","339.0",76,"453.36",625,305,76,"488.57",695,306,36,"443.47",574,286,56,"465.00",584,285,79,"573.56",777,416,79,"583.7",827,416,12547
